lat,long,population,city_significance,zoom_level,national_significance
-41.0666032,145.9166642,19972,6,3.0,30
-41.0333235,-70.2665743,741,8,3.0,10
-40.9439199,175.6456461,20200,7,8.0,20
-40.9034421,174.9989305,25263,8,8.0,10
-40.8329223,145.1166613,4202,7,3.0,20
-40.81319732964497,-62.99754456575547,59122,6,3.0,30
-40.7328768,-64.9332823,8492,7,3.0,20
-40.6123613,175.277246,19550,7,8.0,20
-40.5828601,-67.7999807,1522,7,3.0,20
-40.578707255179616,-73.13066127645298,154131,6,3.0,30
-40.352691,175.6072108,82400,6,8.0,30
-40.3400325,-72.9600275,15456,8,3.0,10
-40.2899581,-73.0899679,26298,8,3.0,10
-40.1000472,-64.433287,2958,8,3.0,10
-39.9326261,175.0393,43200,6,8.0,30
-39.921105210718316,-62.62430936499161,2838,7,3.0,20
-39.8495198,-72.8299838,12813,7,3.0,20
-39.82165065113458,-73.23311053054022,159599,3,3.0,110
-39.6382031,176.8367996,66100,6,8.0,30
-39.5794671,174.2779749,11100,8,8.0,10
-39.4900014,176.926451,57800,4,8.0,50
-39.4833406,-62.6833163,7100,8,3.0,10
-39.3700142,-72.629996,15590,8,3.0,10
-39.2800456,-72.2299945,31602,8,3.0,10
-39.2666097,-65.683314,10000,8,3.0,10
-39.2165905,-73.212338,2293,8,3.0,10
-39.0556393,174.0748125,52500,7,8.0,20
-39.0199581,-67.6099665,73212,8,3.0,10
-38.9888881,175.8142414,3240,8,8.0,10
-38.9665763,-64.0832825,11499,6,3.0,30
-38.9500399,-68.0599907,242092,4,3.0,50
-38.9400146,-69.240022,47814,8,3.0,10
-38.9000171,-70.0666641,19152,6,3.0,30
-38.8799666,-62.0799681,57209,8,3.0,10
-38.7400268,-72.9600275,18777,8,3.0,10
-38.7400268,-62.2650214,281536,3,3.0,110
-38.7300016,-72.579999,265901,6,3.0,30
-38.7094861,-73.1699889,11875,7,3.0,20
-38.6930107,176.0770528,22600,6,8.0,30
-38.6633332,178.0180813,34300,6,8.0,30
-38.6094922,145.5900175,5985,7,3.0,20
-38.5599861,-58.7499905,80478,6,3.0,30
-38.5162679,-70.3665941,1218,7,3.0,20
-38.4333272,-71.2332854,10237,8,3.0,10
-38.3799971,142.4700012,29928,6,3.0,30
-38.3699719,-60.2699494,47136,8,3.0,10
-38.3399996,141.5900032,11808,4,3.0,50
-38.3395345,143.5800109,9089,7,3.0,20
-38.2395406,-72.3400137,24555,7,3.0,20
-38.2245148,175.8704708,13350,8,8.0,10
-38.1995947,146.5300118,18226,7,3.0,20
-38.167495,144.3956335,160991,6,3.0,30
-38.1317379,176.2482631,56200,6,8.0,30
-38.1095744,147.0600052,22486,7,3.0,20
-38.0996008,145.2833695,460491,7,3.0,20
-38.0000203,-57.5799844,555897,3,3.0,110
-37.9599711,-72.4300082,16392,8,3.0,10
-37.9573865,176.9827578,18700,7,8.0,20
-37.8894284,175.4702734,15192,8,8.0,10
-37.8333122,-58.2499952,18967,8,3.0,10
-37.8313485,140.7650406,23209,6,3.0,30
-37.8295915,147.6099975,11005,7,3.0,20
-37.8180855,144.9730704,4170000,1,3.0,300
-37.802211129548745,-72.70549687199102,44856,8,3.0,10
-37.8000325,-67.6832953,17430,8,3.0,10
-37.7782694,175.2895781,148200,4,8.0,50
-37.7311995,142.0234135,8869,7,3.0,20
-37.6995735,-63.1665943,3412,7,3.0,20
-37.6964164,176.1536294,121500,6,8.0,30
-37.6895483,144.570028,32368,7,3.0,20
-37.6700146,-72.0199815,3494,8,3.0,10
-37.6655188,-59.8000297,10609,7,3.0,20
-37.6095532,-73.6499854,22345,7,3.0,20
-37.5696073,144.7100195,29925,7,3.0,20
-37.5595821,143.8400468,85109,7,3.0,20
-37.4800004,-73.3400043,30611,8,3.0,10
-37.47974114915774,-72.34692448268574,145239,4,3.0,50
-37.4666162,-61.9166189,27000,8,3.0,10
-37.382952,-70.2665743,8556,7,3.0,20
-37.382952,140.8166654,1514,7,3.0,20
-37.3200102,-59.1500436,104325,6,3.0,30
-37.2795475,142.9099743,6110,7,3.0,20
-37.2014924,174.9033065,26300,8,8.0,10
-37.1828609,-62.7333132,7190,7,3.0,20
-37.1384239,175.5853163,6756,8,8.0,10
-37.0895849,-73.1600153,49763,7,3.0,20
-37.0596126,142.7600093,6991,7,3.0,20
-37.0495874,143.729976,7046,7,3.0,20
-37.0342395,145.1273067,3693,7,3.0,20
-37.0299503,-73.1600153,92940,8,3.0,10
-36.9999702,174.8849708,375600,4,8.0,50
-36.9000358,-60.3299974,86320,6,3.0,30
-36.8996224,149.9000386,6367,7,3.0,20
-36.8524493,174.5542788,208100,7,8.0,20
-36.8480549,174.763027,1377200,1,8.0,300
-36.8328047,139.8500577,206,7,3.0,20
-36.8300142,-73.050022,889725,3,3.0,110
-36.7912685,174.7758388,205605,7,8.0,20
-36.7796297,-59.8699996,53941,7,3.0,20
-36.7599927,144.2800199,81657,4,3.0,50
-36.7166878,-73.1166588,288074,8,3.0,10
-36.7162227,-56.6766028,13610,7,3.0,20
-36.7096081,142.1900183,12830,7,3.0,20
-36.6200012,-64.2999876,111424,4,3.0,50
-36.606832344547854,-72.11129119828513,150396,6,3.0,30
-36.3745898,145.3913732,33550,7,3.0,20
-36.3600171,146.3,14022,4,3.0,50
-36.3300447,-57.6899777,25190,8,3.0,10
-36.3161955,140.7666426,2583,7,3.0,20
-36.280022,-72.5300021,6529,8,3.0,10
-36.2395593,149.1200345,6520,7,3.0,20
-36.2162532,-65.4500208,4458,7,3.0,20
-36.1295919,144.750017,19457,7,3.0,20
-36.0600354,146.9200138,104258,6,3.0,30
-35.97513032127918,-72.3136284751074,31362,8,3.0,10
-35.9196305,145.6500138,4659,7,3.0,20
-35.85066841888429,-71.59136123379247,81015,8,3.0,10
-35.7255711,174.3229708,52200,6,8.0,30
-35.6995406,139.3333451,1501,7,3.0,20
-35.6896187,150.2073067,10557,7,3.0,20
-35.6595947,-63.77002,57029,7,3.0,20
-35.5662154,-58.0166244,21054,7,3.0,20
-35.5596008,138.6173164,7760,7,3.0,20
-35.5295768,144.9500048,8024,7,3.0,20
-35.4661181,-69.5833086,11847,7,3.0,20
-35.4459643,-60.8899891,34718,8,3.0,10
-35.43021009325654,-71.6656369430057,197479,6,3.0,30
-35.4299963,-60.1799807,24668,8,3.0,10
-35.3546004,149.2113468,32602,7,3.0,20
-35.3495361,150.4700297,9250,7,3.0,20
-35.3396142,143.5400134,9276,7,3.0,20
-35.329589,-72.419983,37917,7,3.0,20
-35.3095902,148.2200378,6526,7,3.0,20
-35.2830285,149.1290262,327700,3,3.0,110
-35.2284809,173.9506715,5856,8,8.0,10
-35.184895,-59.0946723,18278,7,3.0,20
-35.1296012,139.2600162,18194,7,3.0,20
-35.1221598,147.3399882,55381,7,3.0,20
-35.1099257,173.2726847,5202,8,8.0,10
-35.0661942,142.3166772,1400,7,3.0,20
-35.0169466,117.8916048,26445,4,3.0,50
-34.9799979,-71.2400291,113711,6,3.0,30
-34.9699727,-54.9499899,159000,8,8.0,10
-34.9330419,138.598059,1145000,3,3.0,110
-34.9233210985585,-57.95443598989702,694253,7,3.0,20
-34.9100281,-54.9599893,55478,8,8.0,10
-34.90537638970807,-56.18682337831074,1513000,3,8.0,110
-34.8999512,-60.0399893,54514,8,3.0,10
-34.8828463,150.6000476,94781,7,3.0,20
-34.880004,-61.5399494,24798,8,3.0,10
-34.7495727,149.7101794,20940,7,3.0,20
-34.733243,135.86658,13630,4,3.0,50
-34.7095752,150.8400329,10379,7,3.0,20
-34.669991,-54.1699858,3230,8,8.0,10
-34.6600175,-59.4400259,52949,8,3.0,10
-34.6500439,-60.4899876,34587,8,3.0,10
-34.632784,117.6666056,1781,7,3.0,20
-34.61071459139255,-58.43251268766426,12795000,1,3.0,300
-34.6073592,138.7263537,16362,7,3.0,20
-34.6000211,-68.3333332,109163,6,3.0,30
-34.5845699,-60.9588737,85007,7,3.0,20
-34.5800224,-70.9899669,60746,8,3.0,10
-34.569909861977045,-59.11045422563519,81749,7,3.0,20
-34.5449341,146.3973067,7299,7,3.0,20
-34.538004,-56.2840015,19698,10,8.0,1
-34.5295345,20.0299812,14936,7,3.0,20
-34.482974,-54.3330249,26874,6,8.0,30
-34.4700032,-56.3999789,16438,8,8.0,10
-34.469787716602944,-57.836116004496425,21714,10,8.0,1
-34.4153812,150.890004,260914,6,3.0,30
-34.4095935,19.2299267,25153,7,3.0,20
-34.3829284,136.0833109,1791,7,3.0,20
-34.3800346,-71.9999827,11603,8,3.0,10
-34.3700093,-55.2300245,41180,8,8.0,10
-34.3499589,-56.7099858,36529,6,8.0,30
-34.3095996,148.2900077,7501,7,3.0,20
-34.2900142,146.0400158,15455,4,3.0,50
-34.2829346,140.6000378,4716,7,3.0,20
-34.2333252,116.1500057,4240,6,3.0,30
-34.1999939,-54.7500021,2692,8,8.0,10
-34.1850077,142.1513643,47867,6,3.0,30
-34.1700215,-70.7399821,233268,6,3.0,30
-34.1700215,22.1300081,16743,6,3.0,30
-34.1696081,-53.8299807,7686,7,8.0,20
-34.1599963,-58.9599777,81612,8,3.0,10
-34.099002,-56.2149984,32234,10,8.0,1
-34.0895613,-59.0400245,88781,7,3.0,20
-34.032924,23.0333121,63106,7,3.0,20
-34.0195915,20.4300085,13674,7,3.0,20
-33.9896191,-58.2999921,16921,7,8.0,20
-33.9680879,25.598083,1021000,3,3.0,110
-33.950035,22.4500402,174582,4,3.0,50
-33.9328784,137.6332938,2779,7,3.0,20
-33.9180651,18.4330423,3215000,0,3.0,600
-33.8995988,-60.5699827,87652,7,3.0,20
-33.87137339218338,151.2125477744749,4630000,0,3.0,600
-33.857307,121.8888973,7888,6,3.0,30
-33.8328845,138.6000048,3061,7,3.0,20
-33.8296289,148.6800097,6795,7,3.0,20
-33.7596073,25.3900158,228912,7,3.0,20
-33.7495821,-61.9700007,72340,7,3.0,20
-33.706949,150.320013,22076,7,3.0,20
-33.6995593,18.9600207,187865,7,3.0,20
-33.6995593,117.5500752,3934,7,3.0,20
-33.6895858,-65.4699679,49345,7,3.0,20
-33.6828678,136.9166451,537,7,3.0,20
-33.669587,-54.2000098,6976,7,8.0,20
-33.6564095,115.3486592,10214,4,3.0,50
-33.6400281,19.4399397,127597,4,3.0,50
-33.5999788,-70.6999846,246762,8,3.0,10
-33.5995137,-71.6099807,104292,7,3.0,20
-33.5995137,26.8800024,17959,7,3.0,20
-33.5995137,150.7399873,13880,7,3.0,20
-33.5828739,120.0333345,1101,7,3.0,20
-33.5800317,22.1900044,76708,6,3.0,30
-33.5661824,-69.0166765,22834,7,3.0,20
-33.5439989,-56.9009966,21093,10,8.0,1
-33.5200354,-53.369983,27775,8,1.0,10
-33.4961092,150.152788,11128,7,3.0,20
-33.4700126,-55.1200053,2438,8,8.0,10
-33.4661369,-67.549996,4400,7,3.0,20
-33.44020506918074,-70.65050407285783,5720000,0,3.0,600
-33.4200415,151.3000048,3026,8,3.0,10
-33.4196281,149.5700329,6111,7,3.0,20
-33.4100163,-56.5100497,34037,4,8.0,50
-33.3896041,148.0199983,4838,7,3.0,20
-33.3442838,115.6502429,26998,7,3.0,20
-33.3300211,-60.2400029,127742,8,3.0,10
-33.2999971,-66.3500175,432310,6,3.0,30
-33.2995837,26.5200244,91548,7,3.0,20
-33.2995837,117.3499841,1598,7,3.0,20
-33.2799984,149.0999841,39329,4,3.0,50
-33.2595345,-58.0299827,42359,7,8.0,20
-33.2300272,-60.350022,44271,8,3.0,10
-33.2300272,-54.3800247,27684,8,8.0,10
-33.1910632,137.9900162,12506,7,3.0,20
-33.1500321,-59.3400061,33120,8,3.0,10
-33.1496187,136.4333671,636,7,3.0,20
-33.138999,-58.3039975,23279,10,8.0,1
-33.1300333,-64.3499846,153757,6,3.0,30
-33.1295683,148.170015,11137,7,3.0,20
-33.0699853,-68.4900161,117399,8,3.0,10
-33.04773936269631,-71.61702619154609,854000,3,3.0,110
-33.0250268,137.5614119,22559,4,3.0,50
-33.02489773868034,-71.55708337273282,503534,8,3.0,10
-33.0200142,-58.5200045,78676,6,3.0,30
-33.0100407,17.9300061,68284,6,3.0,30
-32.9700431,27.8700195,338627,4,3.0,50
-32.9661674,138.8333239,1689,7,3.0,20
-32.9491837,-60.6682535,1203000,4,3.0,50
-32.9328878,117.1666361,4238,7,3.0,20
-32.9299939,-53.9499992,3998,8,8.0,10
-32.929507722655686,151.77024927411264,540796,3,3.0,110
-32.8996081,144.3000187,265,7,3.0,20
-32.8813842,-68.818557,893000,3,3.0,110
-32.8799711,-71.2600021,79686,8,3.0,10
-32.8699975,27.3899971,160997,6,3.0,30
-32.8295866,-70.5999907,56859,7,3.0,20
-32.825039,-68.8016767,66663,8,3.0,10
-32.8118718,134.2149296,1060,7,3.0,20
-32.8100012,-56.5100497,13221,8,8.0,10
-32.7500049,-70.7200092,59294,8,3.0,10
-32.7209627,151.555028,18625,7,3.0,20
-32.6100134,-60.1799807,25139,8,3.0,10
-32.6000399,-62.6799573,35105,8,3.0,10
-32.5931152,-69.3459845,2390,8,3.0,10
-32.5896012,149.5801098,5391,7,3.0,20
-32.5694991,151.1600134,13813,7,3.0,20
-32.5600423,-53.369983,29613,6,1.0,30
-32.5234826,115.7470567,73356,4,3.0,50
-32.4900207,137.7700297,13897,6,3.0,30
-32.4799955,-58.2399958,67895,8,3.0,10
-32.4599967,-71.2400291,26665,8,3.0,10
-32.4100256,-63.2600253,92453,8,3.0,10
-32.3594861,-54.1799852,55494,7,8.0,20
-32.3496159,22.5699812,44737,7,3.0,20
-32.3299788,-58.0799797,79016,6,8.0,30
-32.3000065,24.5400419,62896,6,3.0,30
-32.2695691,150.890004,11630,7,3.0,20
-32.2599573,148.5973274,31574,4,3.0,50
-32.23939,115.7702356,20086,7,3.0,20
-32.2000126,121.7666137,1004,6,3.0,30
-32.1995475,25.6100024,32898,7,3.0,20
-32.1931396,152.5266483,17591,6,3.0,30
-32.1833211,-64.4832839,1269,8,3.0,10
-32.1796004,-64.1200245,53389,7,3.0,20
-32.0991346,133.6622674,1586,6,3.0,30
-32.0796065,150.8501098,4624,7,3.0,20
-32.0494791,-52.1200076,187838,7,1.0,20
-31.9530688,115.8380529,1532000,2,3.0,200
-31.9499503,141.4331136,17395,4,3.0,50
-31.8996175,26.8800024,105309,7,3.0,20
-31.8976021,152.4618461,44182,7,3.0,20
-31.7795731,-70.9799675,20214,7,3.0,20
-31.7500142,-52.3300206,320674,4,1.0,50
-31.7333227,-60.5333442,262295,8,3.0,10
-31.709965,-55.9800045,54277,8,8.0,10
-31.6599939,-64.4299797,40384,8,3.0,10
-31.6565832,116.6533858,5855,6,3.0,30
-31.6296081,-71.1700076,26340,7,3.0,20
-31.6278511,29.5283162,5939,7,3.0,20
-31.6238721,-60.6900013,489505,4,3.0,50
-31.6166374,18.7333162,3331,6,3.0,30
-31.5799988,28.790015,137772,6,3.0,30
-31.5662012,143.3833304,442,7,3.0,20
-31.5500264,-68.5199884,447048,4,3.0,50
-31.5000036,25.0099873,18164,4,3.0,50
-31.4828471,118.2666723,2668,7,3.0,20
-31.4450199,152.9186657,48547,6,3.0,30
-31.4300338,-62.0899675,59062,8,3.0,10
-31.4200085,-64.5000013,69451,8,3.0,10
-31.3980122,-64.1842404,1452000,3,3.0,110
-31.3903463,-57.9686945,105690,6,8.0,30
-31.3895711,-58.0299827,145210,7,3.0,20
-31.3699857,-51.9800161,25340,8,1.0,10
-31.349987,-66.5999506,6020,8,3.0,10
-31.3495735,115.9000468,1446,7,3.0,20
-31.3200146,-54.1000159,106098,6,1.0,30
-31.2500447,-61.4999777,88713,8,3.0,10
-31.216145,119.3166857,187,7,3.0,20
-31.200022,-55.7499669,7474,8,8.0,10
-31.1800232,-70.9999921,5134,8,3.0,10
-31.1495858,136.8000114,450,7,3.0,20
-31.1026119,150.9171342,38551,6,3.0,30
-31.0873673,152.8220308,11840,7,3.0,20
-30.9870117,150.2622904,7148,7,3.0,20
-30.949598,22.1333154,5785,7,3.0,20
-30.9329065,-61.5666144,12655,7,3.0,20
-30.8995752,-55.5600043,200000,7,8.0,20
-30.8995752,135.2999996,50,7,3.0,20
-30.8800415,-55.5300061,89694,8,1.0,10
-30.8396305,-51.8100007,53169,7,1.0,20
-30.7828898,-60.5832894,9607,7,3.0,20
-30.7353992,121.4600175,36852,4,3.0,50
-30.7300248,-57.3199744,2517,8,8.0,10
-30.7195345,25.1000077,12423,7,3.0,20
-30.7195345,30.4599906,52793,7,3.0,20
-30.6895622,26.7100386,44436,7,3.0,20
-30.649978,24.0000232,32318,6,3.0,30
-30.609446535085038,-71.19949283690885,77138,6,3.0,30
-30.512312,151.667476,22673,4,3.0,50
-30.4309733,137.1655704,528,7,3.0,20
-30.4159871,-56.4860201,41909,8,8.0,10
-30.4109999,27.7160045,24130,10,8.0,1
-30.3800203,-56.4599494,23229,8,1.0,10
-30.3495829,-66.3166604,8989,7,3.0,20
-30.3319096,149.7874357,7082,7,3.0,20
-30.320024,-54.3200283,55434,8,1.0,10
-30.3070532,153.1122973,62978,7,3.0,20
